,Publish Time,Title,Stock,Article
0,2021年08月05日 08:00,泰说好基 | 固收+基金是如何选择债的？,"[['stock_sh600036', '招商银行']]","['', '', '震荡市的热门基金品种“固收+”基金,以其攻守兼备、追求稳健投资回报的特点被越来越多投资者认可。今年一季度,新发基金中“固收+”产品的规模占比由2020年全年的12%攀升至17%。(数据来源:Wind,截至2021年3月31日)“固收+”多以债券打底、股添弹性,在市场行情上涨时,力求增厚收益;在市场行情下跌时,力争严控回撤。普通投资者关注“固收+”的股票收益弹性较多,对其债券部分的投资并不熟悉,也不清楚债券类固定收益投资中有多少成分是追求稳健,又包含了多少基金经理的主观能动。', '债券市场品种一般分为利率债、信用债两大类。利率债指收益率波动主要跟随利率趋势,一般指国债和政策性金融债,后者发行主体即国开行、农发行和进出口行三大政策性银行。信用债是政府之外的主体发行,种类比较多,有信用风险。泰康资产公募事业部固定收益投资负责人、公募投资决策委员会成员蒋利娟介绍,基金管理人在债券资产端配置时,一般以获得相对高的票息收益为主。如果是在中性的市场,不是大牛市的时候,都以信用债作为债券的主要配置资产。信用债期限一般5年以内为主,利率债如国债最长发过50年的,太长的话,波动比较大,基金公司一般以信用债打底。纯债而言,信用债投资是比较核心的。', '那么,信用债投资选择AAA最高信用等级的品种是不是就无从体现基金经理的投研能力了呢?蒋利娟认为,基金管理人或者基金经理的价值核心体现在信用债投资的信用风险控制能力和信用债的收益提升能力两方面。信用风险控制能力依靠公司研究平台的支持,以及基金经理日常投资管理中的风控管理能力。她介绍说,泰康资产有近30人的团队做信用评级,投资信用债更主要依靠公司内部的评级、内部的备选库,而不是依靠外部评级。', '第二方面,信用债的投资收益提升。蒋利娟表示,如何去挑风险可控、收益率还可以的债?需要基金管理人或基金经理去真正了解每个公司、发行人、信用债,发行主体的市场收益率水平跟信用资质情况是不是匹配。如果发现主体其实很差,市场收益率很低,那就需要摒弃这种债,去挑一些未被市场发现的,或者市场给它定价定的收益率很高,但实际上风险没那么高的债。总之,信用债投资能力就看能不能在信用风险控制好的前提下,尽量去选择一些收益率相对高的债,力争给组合提供更高收益。', '如蒋利娟、桂跃强共同担纲的固收+代表作---泰康宏泰回报混合(基金代码:002767),统计截至2021年二季度末,成立以来收益56.43%,超越同期业绩比较基准达29.92%,长期回报能力优秀,入选了招商银行持营核心产品池,欢迎大家多多关注!(招行“五星之选”为招行内部基金推荐,并非基金评级。)', '\n', '', '', '向上滑动阅览', '备注:泰康宏泰回报混合成立于2016年6月8日。该基金历任基金经理及任期为:蒋利娟、桂跃强自基金成立日2016年6月8日起起至今;陈怡自2017年4月19日至2019年5月8日。根据产品2021年二季报,成立以来泰康宏泰回报净值增长率/业绩比较基准增长率56.43%/26.51%,基金业绩经托管行复核。根据泰康宏泰回报混合基金2016-2020年年报,该产品2016-2020年度收益率及同期业绩比较基准收益率分别为:0.96%/1.40%;12.44%/3.30%;1.78%/2.27%;15.82%/8.84%;13.84%/6.51%。该基金2020年12月修改基金合同,投资范围增加存托凭证。', '蒋利娟、桂跃强共同管理的同类型产品还包括泰康兴泰回报沪港深混合基金、泰康颐年混合基金、泰康招泰尊享一年持有混合基金。泰康兴泰回报沪港深混合基金成立于2017年6月15日。该基金历任基金经理及任期为:蒋利娟、桂跃强自2017年6月15日至今;彭一博自2017年6月15日至2017年12月5日。根据泰康兴泰回报基金2017-2020年年报,其2017-2020年度净值增长率及同期业绩比较基准收益率分别为:3.02%/3.48%、2.31%/0.46%、12.38%/10.35%、22.05%/7.73%。本基金2020年12月修改基金合同,投资范围增加存托凭证。', '泰康颐年混合基金成立于2018年5月30日。蒋利娟、桂跃强自基金成立日起至今任该基金基金经理。根据泰康颐年混合基金2018-2020年年报,2018-2020年度净值增长率/同期业绩比较基准收益率分别为:A类3.41%/-0.89%,6.17%/10.35%,9.58%/7.73%;C类3.14%/-0.89%,5.71%/10.35%,9.25%/7.73%。本基金2020年12月修改基金合同,投资范围增加存托凭证。', '泰康招泰尊享一年持有混合基金成立于2020年5月20日。蒋利娟、桂跃强自基金成立日起至今任该基金基金经理。根据泰康招泰尊享一年持有基金2021年第2季度报告,该产品成立以来净值增长率/同期业绩比较基准收益率分别为:A类5.24%/2.98%;C类4.89%/2.98%。该基金2020年12月修改基金合同,投资范围增加存托凭证。', '蒋利娟参与管理的同类型产品还包括泰康颐享混合基金、泰康金泰回报3月定开混合基金、泰康合润混合基金、泰康浩泽混合基金。泰康颐享混合基金成立于2018年6月13日,该基金历任基金经理及任期为:蒋利娟自2018年6月13日起至今;金宏伟自2020年7月24日起至今;桂跃强自2018年6月13日至2020年7月24日。根据泰康颐享混合基金2018-2020年年报,2018-2020年度净值增长率/同期业绩比较基准收益率分别为:A类3.63%/-0.91%、8.76%/10.35%、17.80%/7.73%;C类3.51%/-0.91%、8.26%/10.35%、17.45%/7.73%。该基金2020年12月修改基金合同,投资范围增加存托凭证。', '泰康金泰回报3月定开混合基金成立于2017年1月22日,该基金历任基金经理及任期为:蒋利娟自2017年1月22日起至今;陈怡自2017年10月13日起至今;彭一博自2017年1月22日至2017年12月5日.根据泰康金泰回报3月定开混合基金2017-2020年年报,2017-2020年度净值增长率/同期业绩比较基准收益率分别为:2.85%/3.20%;1.83%/2.66%;10.70%/9.07%;7.12%/6.65%。该基金2020年12月修改基金合同,投资范围增加存托凭证。', '泰康合润混合基金成立于2021年4月7日,蒋利娟自基金成立之日起任该基金基金经理。', '泰康浩泽混合基金成立于2021年6月2日,蒋利娟、陈怡自基金成立之日起任该基金基金经理。', '风险提示', '本文中关于固收+产品的风险收益特征仅为针对该类产品特点的大致描述,具体基金产品风险等级因其考虑因素更多而存在差异,不同销售机构对基金的风险等级和适当性意见可能存在不同。泰康兴泰回报沪港深、泰康颐年、泰康颐享、泰康招泰尊享一年持有混合、泰康合润混合基金可投资于港股,会面临港股通机制的特有风险,存在不对港股投资的可能。过往业绩不代表未来表现,基金管理人/基金经理管理的其他产品业绩不代表基金未来表现,基金管理人不保证基金一定盈利,也不保证最低收益,基金净值和收益存在波动风险。基金有风险,投资需谨慎,请仔细阅读《基金合同》、《产品资料概要》和《招募说明书》(详询官网www.tkfunds.com.cn或客服400-18-95522),选择与自己风险能力相匹配的基金。本产品由泰康资产发行与管理,代销机构不承担产品的投资、兑付和风险管理责任。', '', '', '', '', '', '', '', '', '', '']"
1,2021年07月30日 21:13,正元地信上市：市值64亿 应收账款和合同资产余额25亿,"[['hkstock_hk06030', '中信证券']]","['来源:雷递', '雷递网雷建平7月30日报道', '正元地理信息集团股份有限公司(简称“正元地信”,股票代码为:“688509”)今日在科创板上市,发行价为1.97元。', '正元地信此次发行1.7亿股,募资总额为3.35亿元。', '正元地信开盘价为12.61元,较发行价上涨540%;收盘价为8.31元,较发行价上涨322%;以收盘价计算,正元地信市值为63.99亿元。', '应收账款和合同资产余额达25亿', '正元地信创立于1999年,是由央企中国冶金地质总局控股的国有大型地理信息企业,是国内较早开展测绘地理信息技术研究、开发与应用的企业。', '正元地信长期致力于空间地理信息获取、开发利用以及智慧城市投资、建设、运营服务,经过多年实践与创新发展,培育形成了测绘地理信息技术服务、地下管网安全运维保障技术服务和智慧城市建设运营服务三大核心业务。', '正元地信服务领域覆盖城建、规划、国土、铁路、交通、水利、环保、农林、海洋等各行业,曾为杭州G20峰会、天津达沃斯论坛等提供技术保障。', '招股书显示,正元地信2018年、2019年、2020年营收分别为16.5亿元、19.36亿元、16.76亿元;净利润分别为1亿元、8849.66万元、7499万元;扣非后净利分别为8925.75万元、7390.98万元、5446万元。', '正元地信2018年12月31日、2019年12月31日和2020年12月31日,公司应收账款和合同资产余额分别为17.29亿元、22.9亿元和25.37亿元,占当期营业收入的比例分别为104.59%、118.36%和151.36%。', '报告期各期末,按照逾期标准确定的公司应收账款账龄3年以上占比分别为9.55%、11.28%和15.69%,占比逐年提高。', '正元地信2021年1-3月营收为2.87亿,同比增长58.2%;净利为-1871.69万元,同比增长62.6%;归属于母公司所有者的净利润为-1861.61万元,同比增长54.06%;扣非净利润为-1847.82万元,同比增长56.21%。', '正元地信2021年1-6月营收预计为6.6亿至7.2亿,同比增13.98%至24.34%;净利预计为-2200万元至-500万元,同比增长40.98%至86.59%;归属于母公司所有者的净利润预计为-2300万至-600万,同比增长35.86%至83.27%;扣非净利预计为-2400万至-700万,同比增长39.40%至82.32%。', '冶金地质总局为大股东', 'IPO前,中国冶金地质总局持有公司385,207,800股,占公司股本总额的64.20%,宁波中地信壹号投资管理合伙企业(有限合伙)持股为12.29%,珠海凌沣股权投资合伙企业(有限合伙)持股为11.88%。', '烟建集团有限公司持股为6.65%,中信证券投资有限公司持股为4.98%。', 'IPO后,中国冶金地质总局持股50%,宁波中地信壹号投资管理合伙企业(有限合伙)持股为9.58%;', '珠海凌沣股权投资合伙企业(有限合伙)持股为9.26%。烟建集团有限公司持股为5.18%,中信证券投资有限公司持股为3.88%。', '———————————————', '雷递由资深媒体人雷建平创办,若转载请写明来源。', '', '']"
2,2021年08月05日 07:17,国联安科技创新3年混合净值上涨3.87%,"[['stock_sh000171', '中国战略新兴产业成份指数']]","['国联安科技创新3年封闭运作灵活配置混合型证券投资基金(简称:国联安科技创新3年混合,代码501096)公布8月4日最新净值,上涨3.87%。', '国联安科技创新3年混合成立于2020年3月20日,业绩比较基准为中国战略新兴产业成份指数收益率×50%+恒生指数收益率(使用估值汇率折算)×10%+中债综合指数收益率×40%。该基金成立以来收益37.24%,今年以来收益15.18%,近一月收益4.87%,近一年收益11.15%。近一年,该基金排名同类2148/3606。', '基金经理为潘明。潘明自2020年2月21日管理(或拟管理)该基金,任职期内收益37.24%。', '最新定期报告显示,该基金前十大重仓股如下:']"
3,2021年08月05日 07:17,鹏华国证钢铁行业指数(LOF)A净值上涨4.22%,"[['stock_sz399440', '国证钢铁行业指数']]","['鹏华国证钢铁行业指数型证券投资基金(LOF)(简称:鹏华国证钢铁行业指数(LOF)A,代码502023)公布8月4日最新净值,上涨4.22%。', '鹏华国证钢铁行业指数(LOF)A成立于2015年8月13日,业绩比较基准为国证钢铁行业指数收益率×95%+商业银行活期存款利率(税后)×5%。该基金成立以来收益35.54%,今年以来收益45.15%,近一月收益14.25%,近一年收益57.50%,近三年收益39.21%。近一年,该基金排名同类71/1585。', '基金经理为罗英宇。罗英宇自2021年1月20日管理(或拟管理)该基金,任职期内收益37.88%。', '最新定期报告显示,该基金前十大重仓股如下:']"
4,2021年07月11日 20:13,扬子江药业董事长徐镜人意外离世 曾为泰州首富,"[['stock_sh600056', '中国医药']]","['  来源:北京商报', '  北京商报讯(记者姚倩)7月11日,北京商报记者从知情人士处获悉,扬子江药业董事长徐镜人因病突发去世。徐镜人是中国医药产业的标志性人物,将地处泰州一隅的扬子江药业发展成为现有员工16000余人,旗下20多家成员公司,分布泰州、北京、上海、南京、广州、成都、苏州、常州等地;营销网络覆盖全国各省、市、自治区。中国医药工业信息中心发布的“2019年度中国医药工业百强榜单”显示,扬子江药业连续第六年拿下第一的位置。根据胡润百富榜计算,2020年徐镜人家族财富为470亿元,在江苏泰州上榜的企业家中位列第一。']"
5,2021年08月05日 07:10,华夏国证半导体芯片ETF联接A净值上涨4.79%,"[['stock_sz980017', '国证半导体芯片指数']]","['华夏国证半导体芯片交易型开放式指数证券投资基金发起式联接基金(简称:华夏国证半导体芯片ETF联接A,代码008887)公布8月4日最新净值,上涨4.79%。', '华夏国证半导体芯片ETF联接A成立于2020年6月2日,业绩比较基准为国证半导体芯片指数收益率×95%+人民币活期存款税后利率×5%。该基金成立以来收益57.75%,今年以来收益43.83%,近一月收益16.60%,近一年收益30.02%。近一年,该基金排名同类223/1585。', '基金经理为赵宗庭。赵宗庭自2020年4月23日管理(或拟管理)该基金,任职期内收益57.75%。', '最新定期报告显示,该基金前十大重仓股如下:']"
6,2021年08月04日 17:40,"寒武纪现1笔大宗交易 共成交3,850.29万元","[['stock_sh688256', '寒武纪']]","['  寒武纪在8月4日,发生1笔大宗交易。', '  第1笔成交价格为82.64元,成交46.59万股,成交金额3,850.29万元,买方营业部为中国国际金融股份有限公司广州珠江新城证券营业部,卖方营业部为中国中金财富证券有限公司广州分公司。']"
7,2021年08月02日 19:46,144只清盘！同比猛增73%，发生了什么？,"[['stock_sh000852', '中证1000指数']]","['  年内清盘基金数量不断刷新.....', '  今年以来,已有超过140只基金遭遇清盘。其中,债基占比接近四分之一。此外,面临“三年大考”的发起式基金中,有超四成基金规模尚未达到2亿元,或面临清盘。业内人士认为,随着产品清盘进入常态化,下半年清盘基金数量还将持续增加。', '  年内144只基金清盘同比增73%', '  债基占比接近1/4', '  Wind数据显示,7月有19只基金进入清算程序。截至7月31日,今年以来,累计有54家公司旗下的144只遭遇清盘,较去年同期的83只产品增长73.49%。', '  值得注意的是,年内有63只债券型基金遭遇清盘,占比达43.74%,此外,还有55只为混合型基金,20只为股票型基金。', '  根据公告,基金清盘归于三类:一是经基金份额持有人大会表决通过;二是在基金合同约定的时间内,基金资产净值连续低于5000万元或基金份额持有人数量不满200人;三是达到基金合同约定的其他清盘条件。', '  一位中型基金公司市场部负责人表示,基金清盘一般是受业绩和规模的影响,由于业绩未达到预期或者规模本身较小就容易导致清算,此外基金产品缺乏特色、基金种类发生变化等原因也可能导致清盘。辩证来看,基金发行和清盘已逐渐成为公募基金市场常态,成为一种新陈代谢、优胜劣汰机制,更是基金公司优化资源配置、提升运作效率的办法,长期来看也有利于市场的健康和可持续发展。他还提到,债券基金大多是面向机构客户的定制产品,成立时份额可能本就不大,如果持有量较大的机构客户因需求变化、流动性要求等原因赎回基金,加之后期持续募集的能力不足,就容易导致清盘。', '  上海证券基金分析师李柯柯则表示,清盘基金数量增加,一方面由于基金总数量不断增长,产品间竞争加剧,导致竞争优势不突出的迷你基金越来越多;另一方面今年市场波动相对较大,基金净值下降加上投资者赎回,导致基金规模缩水,触发清盘条例。具体来看,中长期纯债基金清盘数量比重较高。统计发现,有相当一部分清盘基金是机构持有比例过高的产品,一旦机构资金撤出,基金规模下降,基金将被动面临清盘问题。', '  多只绩优发起式基金面临清盘压力', '  值得注意的是,一些产品净值表现良好的发起式基金也遭遇清盘。', '  7月29日,由某位明星基金经理管理的一只平衡混合型发起式基金进入清算期,该基金自成立以来的回报达153.86%。但截至二季度末,该基金产品规模仅为0.35亿元,触发合同终止条款。2020年一季度,该产品的回报在1036只同类型产品中,排第99名,产品规模也随之上涨,但仍难达到产品清盘线的要求。在该基金合同中规定,基金合同生效之日起三年后的对应自然日,如果基金资产规模低于2亿元,基金合同应当按约定程序进行清算并终止,且不得通过召开基金份额持有人大会的方式延续。', '  数据显示,成立于2018年下半年的发起式基金有73只,其中,截至今年二季度末规模小于2亿元的基金有31只,占比达42.46%。进入到下半年,市场上仍有不少发起式基金将面临清盘考验。其中,不乏产品净值表现良好的产品。比如,银华盛利混合发起式基金自成立以来至2季度末回报达210.40%,期末产品规模为0.66亿元;安信量化优选股票型发起式基金回报达130.14%,二季度末规模0.34亿元;建信中证1000指数增强型发起式基金的回报为109.56%,二季度末规模为0.79亿元。', '  上述基金公司市场部负责人表示,基金公司发行发起式基金往往出于多方面的考虑,比如为了布局新产品、培养新晋基金经理等,以部分自有资金参与认购发起设立,因此成立时往往规模不大。而且,发起式基金成立满3年时,需要满足2亿元规模才能继续运作,所以很多发起式基金到3年期就要面临一次生存大考,如果业绩不符合预期、渠道销售不给力或者基金公司不够重视等原因导致规模不达标,就不可避免的会面临清盘考验。', '  上海证券基金分析师李柯柯也表示,基金公司成立发起式基金或出于以下两个原因:一是基金公司布局新产品但发行困难,通过发起式途径实现产品的顺利发行;二是基金公司与投资者实现利益绑定,保障基金投资更加谨慎。在产品实际运作过程中,基金业绩不达标、市场竞争优势不明显、产品设计不符合市场需要等原因,或导致基金规模未实现有效扩张,基金运行的性价比不高,从而导致基金清盘。', '  当持有基金被清算时,李柯柯建议投资者可以选择:1)撤出资金,及时止损;2)转投同一基金公司的其他产品。投资者在参与基金投资时,应从基金公司、基金经理、基金产品三个维度综合评估,选择公司实力雄厚、投研能力突出,同时产品的风险收益特征满足自身投资偏好的产品。']"
8,2021年08月02日 09:31,北方稀土盘中快速下跌,"[['stock_sh600111', '北方稀土']]","['  08月02日消息,北方稀土盘中直线打压快速下跌,截止09:31,报价48.87元,涨幅2.45%,成交167247手,成交量8.37亿元,换手率0.46%。', '  资金流向方面,呈现主力资金净流出状态,特大单买入2.7529亿元,占比37.19%,卖出3.2111亿元,占比43.38%;大单买入2.0861亿元,占比28.18%,卖出2.056亿元,占比27.77%。']"
9,2021年08月05日 07:06,中银证券新能源混合A净值上涨4.27%,"[['stock_sh601696', '中银证券']]","['中银证券新能源灵活配置混合型证券投资基金(简称:中银证券新能源混合A,代码005571)公布8月4日最新净值,上涨4.27%。', '中银证券新能源混合A成立于2018年8月2日,业绩比较基准为中证新能源产业指数收益率×50%+中证全债指数收益率×50%。该基金成立以来收益132.38%,今年以来收益24.25%,近一月收益7.99%,近一年收益52.14%,近三年收益132.38%。近一年,该基金排名同类207/3606。', '基金经理为张燕。张燕自2018年8月24日管理(或拟管理)该基金,任职期内收益132.31%。', '最新定期报告显示,该基金前十大重仓股如下:']"
