,URL,Stock_ID,Stock_Name,Publish Time,Title,Article
0,https://finance.sina.com.cn/stock/carbon/tygd/2021-04-22/doc-ikmxzfmk8314708.shtml,stock_sz000591,太阳能,2021年04月22日 14:24,董忠云：碳中和将转化为我国核心竞争力 光伏和新能源汽车增长确定性更大,"['  【编者按】作为全球最大的发展中国家,中国对碳中和的践行程度,影响着全球碳中和的实现,我国要在2030年前达到碳达峰,再用30年时间实现碳达峰到碳中和的转变,短期是否会影响到我国GDP增速?还需要做哪些政策层面的准备?这一目标,对高能耗行业来说意味着什么?碳中和一出,不少行业飞涨,哪些上涨是短暂的?哪些行业是真正具有硬实力的?新浪财经中国碳公司评选系列对话邀请中航证券首席经济学家董忠云博士详述以上问题。', '  碳中和与经济增长并不背离将成为我国核心竞争力', '  新浪财经:全球实现碳排放达峰的国家基本上是发达国家或后工业化国家,而目前我国的经济增速仍高于发达国家,现阶段碳排放还处于上升趋势。您如何理解我国要在2030年前达到碳达峰,再用30年时间实现碳达峰到碳中和的转变这个时间段的设置?', '  董忠云:碳中和并非是经济增长的对立面,也并非仅是环境义务,碳中和的实现将会成为我国核心竞争力,是经济实力的一种体现。以高效清洁能源作为依托的工业体系和经济系统是各国未来的发展方向,也是我国需要尽早占领的制高点。欧美国家基本规划将在本世纪中叶达到碳中和,一定程度上迫使我国设置较短时间完成目标,需以更快的速度在碳中和赛道上追赶发达国家进程。', '  新浪财经:要实现碳中和的终极目标,当前在政策上还需要做哪些准备?', '  董忠云:碳中和的外部性使得经济个体很难自发进行减碳活动,所以更需政府层面明确的政策规划,为实体经济达成“两碳”提供指引。目前,中央和地方政府基本已颁布了一系列政策,但政策并未特别聚焦于居民层面。', '  我们认为,未来一些政策方向可以合理引导居民对“两碳”目标做出贡献,如在金融领域的ESG投资、交通领域的低碳出行、消费领域的责任消费等。', '  新浪财经:短期看,走往碳中和的路途中,是否会影响到当前的GDP增速?', '  董忠云:因为某些行业产业转型相关成本的增加,短期内确实会对GDP增速产生一定的负面效应,但应该不会明显。前期经济层面的成本付出是为未来碳中和所能带来的巨大回报而做出的必要投资,工欲善其事,必先利其器。当下,我们认为更应该着眼于碳中和进程所带来的科技进步,以及在实现以高效清洁能源作为依托的工业体系和经济系统后所能释放的巨大红利。', '  高能耗行业迎供给侧改革 长线看好光伏和新能源汽车产业链', '  新浪财经:您如何看待碳达峰碳中和这一目标给不同行业带来的风险和机遇?', '  董忠云:风险与机遇共存,碳排放降低在机理上,如调整产业结构、降低单位能耗、清洁化等必然会增加传统高耗能行业的成本与风险,但节能减排和产业转型的同时也意味着新一轮供给侧改革的开始,生产端减碳将压缩产业供给,加速行业中小企业的出清,而产能高、技术先进且资金雄厚的龙头公司有望进一步提高市场占有份额。', '  对如新能源等新兴行业来说,“两碳”进程确实为行业带来了较强的增长确定性和较高的增速,如我国太阳能和风力发电未来10年的能源装机量CAGR有望分别达到15%和11%以上,新能源汽车销量CAGR在未来5年有望达31%至34%,动力电池在2025年前的CAGR有望达44%以上,但同时我们也需要处理好高增长背后所蕴含的问题。', '  新浪财经:您曾经提到,对高能耗高污染企业来说,要提升环保要求,这将给行业带来什么变化?是否会加速行业的整合?对相关企业来说,需要具备怎样的素质?才能立于潮头?', '  董忠云:碳中和对传统工业的影响短期类似供给侧结构性改革,中长期相对利空。考虑碳排放对环境的外部性,将提高能源价格和传统制造业的生产成本。', '  短期内,由于大型企业的边际成本较低,节能减排和碳交易将继续提升规模经济的边际收益,提升行业集中度,利好行业龙头;', '  中长期内,由于能源替代效应,一旦边际减排成本达到阈值,或将会出现快速的能源替代浪潮。', '  在此背景下,高耗能企业必须依赖技术进步来迎接挑战,实现低碳环保技术升级,保持相同生产规模条件下可以降低碳排放的绿色溢价,还可以借助大规模储能、碳捕集的技术研发作为辅助手段,实现产业转型升级。', '  新浪财经:借着碳中和的“东风”,很多相关行业都迎来了大涨,您认为,其中有哪些行业的涨幅是不可持续的?哪些行业是真正将迎来机遇?', '  董忠云:碳中和涉及到的碳税、碳交易等政策落地将对行业和公司产生显著差异。能源、交通和工业构成了碳排放的主体。在实现碳中和的过程中三个领域都将出现明显的投资机会,但是三者投资逻辑不同。投资能源和交通板块下的光伏和新能源汽车,逻辑是发展空间大,竞争格局好。而投资工业板块的钢铁、铝和水泥等板块逻辑是存量供给收缩,市占率提升。长期来看光伏和新能源汽车产业链的业绩确定性非常强,并且市场已经给予了估值溢价,长投资时限投资者可以继续坚定持有这两个赛道,无惧短期估值扰动。', '  新浪财经:近期,不少行业巨头纷纷表示跨界造车,您认为,当前的新能源汽车产业赛道拥挤吗?这对行业是好事还是坏事?', '  董忠云:产业要想有活力,需要有新进入者推动充分竞争。新能源汽车行业成为汽车产业的新风口,目前尚处于快速成长期,增速较高但远未达到成熟阶段,要更多的企业进入才能够达到成本效应的平衡,在经历了优胜劣汰之后才能浮现出真正同时具有生产制造优势和自主品牌优势的新能源车领军企业。', '  近期,我们观察到很多跨界造车的企业都来自于不同行业,将给新能源汽车行业带来丰富的技术和资源,但需要深耕供应链的上下游,坚持系统思维打牢基础,而不是为资本市场短期热炒带歪方向,如此才能迎接新的智能制造时代,为碳中和产业升级注入动力。', '   绿色金融尚需统布局 加强信息披露', '  新浪财经:您如何评价当前中国绿色金融的发展态势?您是否测算过,要实现碳中和的终极目标,大概需要多少投资?要实现这个目标,在绿色金融这块,政策层面还需要做哪些准备?', '  董忠云:发展绿色金融,是实现绿色发展的重要措施,也是供给侧结构性改革的重要内容。据高盛估计,到2060年,中国清洁能源技术基础设施投资规模将达到16万亿美元,折合人民币约104万亿元。我们测算,未来30多年中国实现碳中和所需的绿色低碳投资规模应该在百万亿元以上,甚至可能达到数百万亿元。目前很多全球资产配置机构,如挪威主权基金、加拿大养老基金、新加坡政府投资公司,都纷纷将绿色金融纳入投资决策框架,积极开展ESG投资实践,助力实现碳中和。', '  而当前我国绿色金融还存在法律体系有待健全、服务体系相对滞后、金融市场大而不强等问题。未来我国绿色金融政策面还应当统筹布局,加强企业绿色金融信息披露制度、制定绿色金融财税支持政策、提升国内外投资者参与积极性、用市场化方式提高金融机构绿色业务比重,从而推动绿色金融可持续发展。', '  新浪财经:在实操阶段,绿色金融要做到扶持真正的节能环保企业,但目前我国对企业这块的信息并不是强制披露,应该如何鉴别一家企业在节能环保行业的真正成色?', '  董忠云:绿色金融信息披露制度的建立还处在起步阶段。2016年,人民银行等七部委联合印发《关于构建绿色金融体系的指导意见》,明确提出要“逐步建立和完善上市公司和发债企业强制性环境信息披露制度”。2017年6月,证监会与原环境保护部签署《关于共同开展上市公司环境信息披露工作的合作协议》,证监会也已经着手制定规则对上市公司强制性环境信息披露等方面提出了明确要求。     我们看到已经有多家A股上市公司因在年报或半年报出现环保信披问题被立案调查。未来监管部门可能还需完善绿色金融的标准体系,统一披露标准,增加定量指标占比,覆盖各类金融机构和融资产品,提高披露内容可信度和透明度,分步分级建立强制信息披露制度。', '  近两年,大量环保企业转让股权,部分国资接力入场,使环保企业资金压力得到缓解,环保行业基本面已经悄然变化。', '  从长期看,环保产业仍然是朝阳行业,并且存在整合的机会。在碳中和时代,运营管理能力是降本增效的重要环节,也是未来行业整合的重要支撑。建议还是重点关注有核心技术和竞争力的环保设备和技术方案提供商,以及有长期经验积累的运营型公司。', '  ——访谈结束——', '>>>>>>点击了解更多新浪财经中国碳公司评选信息']"
1,https://finance.sina.com.cn/stock/jsy/2021-08-03/doc-ikqciyzk9227012.shtml,stock_sh601888,中国中免,2021年08月03日 10:48,中国中免盘中大涨6% 成交额逾31亿,"['  8月3日消息,中国中免盘中大涨6%,成交额逾31亿。截至发稿,股价报253.85元,成交12.68万手,成交额31.26亿元,换手率1.39%,最新市值4956亿元。', '  值得注意的是,中国中免昨日再度获沪股通增持117.82万股,已连续4日获沪股通增持,共计363.59万股,最新持股量为1.89亿股,占公司A股总股本的9.70%。', ' ']"
2,https://finance.sina.com.cn/stock/y/2021-06-04/doc-ikqciyzi7610523.shtml,stock_sh601200,上海环境,2021年06月04日 07:24,6月4日四大证券报头版头条内容精华摘要,"['  中国证券报', '  上半年我国出口有望延续良好势头', '  商务部新闻发言人高峰3日表示,今年上半年我国出口有望延续良好势头。商务部将按照党中央、国务院决策部署,持续做好大宗商品保供稳价工作,积极推进进口多元化,加强国际合作,构建互利共赢的大宗商品稳定贸易渠道。', '  发改委:到2025年培育50家大宗固体废弃物综合利用骨干企业', '  国家发改委6月3日消息,国家发改委近日发布《关于开展大宗固体废弃物综合利用示范的通知》明确,到2025年,建设50个大宗固废综合利用示范基地,示范基地大宗固废综合利用率达到75%以上,对区域降碳支撑能力显著增强;培育50家综合利用骨干企业,实施示范引领行动,形成较强的创新引领、产业带动和降碳示范效应。', '  抢占热门赛道ETF发行提速', '  今年以来ETF逆势扩容。截至目前,今年以来新成立的ETF数量“破百”,超过2020年全年。其背后是基金公司争相布局云计算、畜牧养殖等热门赛道,并涌现了全市场首只化工ETF、低碳ETF、A股“创新药+医疗器械+医疗服务”主题ETF等。分析人士认为,在大扩容趋势下,ETF在公募基金中扮演越来越重要的角色,既填补多个细分行业投资空白,也使基金公司进一步完善产品线布局。', '  连续回调人民币汇率单边升值预期逐渐减弱', '  在岸人民币对美元即期汇率先行贬破6.39元,连续三日贬值。鉴于境外上市中资企业购汇需求季节性上升和美元汇率走势存在较大变数,专家表示,目前,人民币汇率单边升值预期正趋于减弱。企业应树立“风险中性”理念,避免“炒汇”行为。', '  上海证券报', '  持续深化“放管服”改革国务院再次释放助企纾困积极信号', '  商务部新闻发言人高峰昨日在例行新闻发布会上表示,将进一步推进“放管服”改革,优化营商环境,降低企业成本,采取切实的、有针对性的措施,支持各类外贸企业特别是中小微外贸企业稳定经营、健康发展。', '  公募基金扬帆资管大时代', '  近年来,一系列正本清源的监管政策陆续出台,炒小、炒新、炒消息等行为被市场主流所抛弃,市场投资理念发生了深刻变化,这也让基于价值挖掘的公募基金如鱼得水。从公募基金定期报告可以看出,过去几年,公募基金成功把握了经济转型升级和居民消费升级这两个主线,重仓一批优质公司,收益颇丰。', '  全国碳市场即将启动交易基本框架包括五大要素', '  为实现“零碳中国”贡献“虹桥智慧”。6月3日,虹桥国际经济论坛专题对话活动在上海市青浦区举行。上海环境能源交易所股份有限公司(以下简称“上海环交所”)相关人士在会上表示,当前全国碳排放权交易市场(以下简称“全国碳市场”)已基本满足上线要求,根据主管部门的工作部署,预计近期启动上线交易。', '  拥抱时代方能成就未来', '  进入新世纪以来,我国各项改革持续深化、对外开放不断扩大、经济社会发展向高质量转型升级、资本市场改革建设稳步推进。随着居民财富积累持续增长,投资理财保值增值需求大增。对于公募基金而言,可谓生逢其时。', '  证券时报', '  “杀熟”最高罚5000万!深圳重拳岀手全国多地数据立法工作在路上', '  日前,《深圳经济特区数据条例(征求意见稿)》(以下简称《条例(征求意见稿)》)通过了深圳市大人常委会的审议,并在深圳市人大常委会网站上公开征求意见。', '  排查经营贷精准施策发挥政策最大效用', '  事实上,随着银行严控贷款资金挪用、房贷审核标准收紧,炒房客从银行渠道直接获取资金已是越来越难。一些炒房客转而将目标转向小贷公司、融资担保公司等类金融机构。近期,广州地方金融监督管理局要求小贷公司不得开展“过桥贷”“赎楼贷”业务,对存量尽快压降、结清,不得直接或变相发放住房按揭贷款。深圳也约谈多家赎楼担保公司和小贷公司,要求全面排查经营用途贷款担保业务,重点排查涉房担保贷款和委托贷款相关业务。', '  机构预测5月PPI将“破8”CPI稳步回升', '  5月份居民消费价格指数(CPI)月度报告和工业生产者价格指数(PPI)即将公布。近期不少市场机构发布了预测数值。资讯显示,15家市场机构预测的平均值为5月份CPI同比增长1.6%,PPI同比增长8.2%。其中,11家机构预测PPI同比增幅将超过8%。分析认为,5月份PPI可能创下2009年以来新高。但市场又较为一致地认为,PPI同比继续明显回升的空间有限。CPI方面,尽管CPI中枢会逐季抬升,但相对温和可控。', '  证券日报', '  规范电商发展既要监管加码也要平台守则自律', '  电商的“造节造势”形成了“节日月月有、折扣天天打”的局面,但在此过程中诸如涉嫌传销、网络售假、不正当竞争、大数据“杀熟”等问题层出不穷。在笔者看来,出现种种乱象的根源还是在于行业发展不够规范,这就需要在对电商平台的监管等方面不断加码,同时,也要平台自身守则自律。', '  5月份房企融资骤降近三成供应链融资叫停开发商找钱难', '  在‘三道红线’强压下,不少房企都将目光转向表外融资渠道,供应链融资逐渐成为房企获取资金的重要来源之一。但5月份监管力度不断加压,让表外负债无所遁形。融资环境持续收紧,渠道限制越来越多,开发商资金链将会持续偏紧。在这种大趋势下,保障现金流充裕是重要任务。', '  反洗钱监管范围有望扩大炒房炒黄金被“圈定”', '  此前,我国的反洗钱调查主要集中在金融机构领域,而此次《中华人民共和国反洗钱法(修订草案公开征求意见稿)》将调查范围扩大至包括开发商、中介等在内的非金融机构领域,反洗钱监管再次升级。', '  自贸区从“1”到“21”高水平开放形成创新矩阵', '  商务部研究院国际市场研究所副所长白明对《证券日报》记者表示,“既然是试验,那就是有风险的,并不是成功率越高就越好。对于深层次的制度创新,要敢于尝试,要有容错机制,更要有纠错机制,这样才能激发出更大的创新潜能。”']"
3,https://finance.sina.com.cn/stock/snipe/2021-08-05/doc-ikqcfncc1029207.shtml,stock_sh601877,正泰电器,2021年08月05日 09:30,正泰电器大涨,"['  08月05日消息,正泰电器大涨,截止09:30,报价50.47元,涨幅5.65%,成交34272手,成交量1.7亿元,换手率0.16%。', '  资金流向方面,呈现主力资金净流入状态,特大单买入0.4802亿元,占比37.7%,卖出0.1158亿元,占比9.09%;大单买入0.4813亿元,占比37.79%,卖出0.5856亿元,占比45.98%。']"
4,https://finance.sina.com.cn/money/bank/bank_hydt/2021-08-06/doc-ikqciyzk9824407.shtml,stock_sh601528,瑞丰银行,2021年08月06日 08:04,上市中小银行阵营将再扩容 13家城商行、农商行在A股排队,"['  原标题:上市中小银行阵营将再扩容', '  来源:经济参考报', '  上市中小银行阵营将扩容。8月4日,上海农村商业银行股份有限公司(下称“上海农商银行”)正式启动申购,发行价格为8.90元/股。8月5日,上海农商银行发布《首次公开发行股票网上申购情况及中签率公告》。公告显示,该行本次网上发行有效申购户数为16965592户,有效申购股数为412582062000股,网上发行初步中签率为0.07012738%。Wind数据显示,上海农商银行此次网上有效申购户数和有效申购股数均创造了A股上市银行新股申购记录。', '  招股说明书显示,上海农商银行成立于2005年8月,在原上海市农村信用合作社联合社的基础上,整合了14家区(县)联社、219家基层信用社,由总计234家上海市农村信用合作社法人机构改制而来。截至2020年末,上海农商银行总资产规模达到10569.77亿元,居全国农商行第二位。另外,据招股说明书显示,今年一季度,上海农商银行总资产达到10768.48亿元,环比增长1.88%。从招股书披露的方案看,上海农商银行此次募集资金净额将全部用于补充该行核心一级资本,进一步夯实资本充足水平。', '  今年6月25日,浙江绍兴瑞丰农村商业银行股份有限公司(简称“瑞丰银行”)正式登陆上交所主板。瑞丰银行是浙江省首家上市的农村商业银行,也是全国上市的第9家农村商业银行。上海农商银行步入申购进程,意味着A股第10家农商行的上市脚步愈发临近。', '  与此同时,还有13家城商行、农商行在A股排队。根据截至7月29日的沪市、深市主板首次公开发行股票企业基本信息情况表显示,厦门农村商业银行、亳州药都农村商业银行、江苏海安农村商业银行、江苏昆山农村商业银行、兰州银行、江苏大丰农村商业银行、安徽马鞍山农村商业银行、东莞银行、广东南海农村商业银行、广东顺德农村商业银行、广州银行和重庆三峡银行的审核状态均为“预先披露更新”,湖州银行审核状态为“已反馈”。', '  业内人士表示,部分中小银行目前面临着较大的资本补充压力,需要通过包括上市在内的多种渠道补充资本。上海金融与发展实验室主任曾刚表示,中小银行融资需求更为迫切,一方面,加强对实体经济的支持力度,需要强化信贷投放,而这离不开资本的支撑;另一方面,近年来监管强化约束,不少银行表外业务回表,对资本造成一定损耗,导致对资本补充的需求上升。业内人士预计,今年下半年中小银行上市潮或再现。']"
5,https://finance.sina.com.cn/china/2021-08-13/doc-ikqcfncc2551992.shtml,stock_sz000061,农产品,2021年08月13日 07:33,人民日报刊文：以更大力度推动乡村振兴,"['  原标题:以更大力度推动乡村振兴', '  本报记者高云才郁静娴', '  今年上半年,乡村产业现代化水平不断提升,乡村建设行动扎实推进,农业高质高效、乡村宜居宜业、农民富裕富足的新图景不断铺展开。', '  今年以来,31个省(区、市)全部建立实施乡村振兴战略领导机制,各地各级乡村振兴局相继挂牌,乡村振兴全面提速。6月1日起,《中华人民共和国乡村振兴促进法》正式施行,乡村振兴战略迈入有法可依、依法实施的新阶段。', '  当前,做好下半年乡村振兴工作,必须加快构建农业农村新发展格局,推动农业农村高质量发展。', '  一方面,提升乡村产业现代化,激发乡村振兴动能。', '  下半年,乡村产业发展要聚焦地方主导产业,优化区域布局,拓展乡村多种功能,大力发展现代产业体系。要继续加大乡村产业链、供应链推进力度,开展50个全程试点县建设。推动实施脱贫地区特色种养业提升行动,促进脱贫地区产业提档升级等。', '  农业农村部有关负责人表示,要继续以县为单位开展农业现代化示范区创建,加强现有现代农业产业园、优势特色产业集群、产业强镇等项目整合,示范引领农业设施化、园区化、融合化、绿色化、数字化发展,形成梯次推进农业现代化的格局。', '  另一方面,推进乡村建设行动,夯实乡村振兴基础。', '  上半年,农业农村部制定乡村建设行动实施方案,有序推进农村人居环境整治,组织开展村庄清洁行动,启动实施农村人居环境整治提升五年行动。持续深化农村改革,稳步推进第二轮土地承包到期后再延长30年试点,完成53万个村集体经营性资产股份合作制改革。', '  农业农村部有关负责人表示,下半年将持续扩大农业农村有效投资,围绕实施“十四五”农业农村发展规划,聚焦高标准农田、农产品仓储保鲜冷链物流设施、乡村建设等领域,启动一批重大工程。']"
6,https://finance.sina.com.cn/stock/usstock/c/2021-08-12/doc-ikqcfncc2438859.shtml,usstock_HNHPF,鸿海,2021年08月12日 14:39,鸿海二季度净利润同比飙升30% 远超预期,"['  富士康母公司鸿海集团周四发布财报称,第二季度净利润同比增长30%,至297.8亿新台币,超过市场预期,得益于疫情期间居家办公人群对科技产品的强劲需求。', '  鸿海表示,由于新冠肺炎疫情,全球越来越多的人在家工作和学习,该公司的关键消费产品(主要是智能手机)推动了这一高于预期的数据。', '  该公司二季度营收增长20%,至1.35万亿新台币,增幅超过其5月份预测的15%。', '  鸿海表示,预计第三季度总营收将增长3-15%,消费电子部门的营收将增长15%以上。']"
7,https://finance.sina.com.cn/roll/2021-08-12/doc-ikqcfncc2359295.shtml,stock_sh600030,中信证券,2021年08月12日 08:43,中信证券：政策信号频发 下半年社融增速大可不必悲观,"['  炒股就看金麒麟分析师研报,权威,专业,及时,全面,助您挖掘潜力主题机会!', '  e公司讯,中信证券研报认为,下半年政策逻辑出现了比较明显的转变——国内经济增速存在下行压力背景下,预计国内货币宽松空间有限,财政政策将逐步发力。二季度货币政策执行报告与我们的判断吻合。此前市场对于社融一直存在较为保守的预期,最新公布的7月金融数据也难言强势,但这恰恰体现了财政发力和信贷支持政策的急迫性。从近期频繁的政策信号来看,下半年社融增速大可不必悲观,同时需要警惕债市后续调整加大的可能。']"
8,https://finance.sina.com.cn/stock/snipe/2021-08-11/doc-ikqciyzm0767936.shtml,stock_sh601236,红塔证券,2021年08月11日 09:31,红塔证券盘中快速上涨,"['  08月11日消息,红塔证券盘中直线拉升快速上涨,截止09:31,报价14.37元,涨幅4.59%,成交101986手,成交量1.43亿元,换手率0.4%。', '  资金流向方面,呈现主力资金净流入状态,特大单买入0.3107亿元,占比21.86%,卖出0.1944亿元,占比13.68%;大单买入0.2974亿元,占比20.92%,卖出0.4011亿元,占比28.22%。']"
9,https://finance.sina.com.cn/money/bank/bank_yhfg/2021-08-10/doc-ikqcfncc2056482.shtml,stock_sh601658,邮储银行,2021年08月10日 17:14,银保监会：2021年二季度银行业和保险业总资产稳健增长,"['  原标题:银保监会发布2021年二季度银行业保险业主要监管指标数据', '  一、银行业和保险业总资产稳健增长', '  2021年二季度末,我国银行业金融机构本外币资产336万亿元,同比增长8.6%。其中,大型商业银行本外币资产136.2万亿元,占比40.5%,资产总额同比增长8.1%;股份制商业银行本外币资产60.3万亿元,占比18.0%,资产总额同比增长8.4%。', '  2021年二季度末,保险公司总资产24万亿元,较年初增加16439亿元,较年初增长7.4%。其中,产险公司总资产2.5万亿元,较年初增长8.5%;人身险公司总资产20.4万亿元,较年初增长7.1%;再保险公司总资产6088亿元,较年初增长22.8%;保险资产管理公司总资产965亿元,较年初增长26.9%。', '  二、银行业和保险业持续加强金融服务', '  2021年二季度末,银行业金融机构用于小微企业的贷款(包括小微型企业贷款、个体工商户贷款和小微企业主贷款)余额47.6万亿元,其中单户授信总额1000万元及以下的普惠型小微企业贷款余额17.8万亿元,同比增速29.3%。保障性安居工程贷款6.5万亿元。', '  2021年上半年,保险公司原保险保费收入2.7万亿元,同比增长4.2%。赔款与给付支出7531亿元,同比增长21.4%。2021年上半年新增保单件数221亿件,同比下降7.4%。', '  三、商业银行信贷资产质量基本稳定', '  2021年二季度末,商业银行1(法人口径,下同)不良贷款余额2.8万亿元,较上季末增加25亿元;商业银行不良贷款率1.76%,较上季末下降0.05个百分点。', '  2021年二季度末,商业银行正常贷款余额156.2万亿元,其中正常类贷款余额152.4万亿元,关注类贷款余额3.8万亿元2。', '  四、商业银行利润继续增加,保持较强风险抵补能力', '  2021年上半年,商业银行累计实现净利润1.1万亿元,同比增长11.1%。平均资本利润率为10.39%,较上季末下降0.89个百分点。平均资产利润率为0.83%,较上季末下降0.07个百分点。', '  2021年二季度末,商业银行贷款损失准备余额为5.4万亿元,较上季末增加1746亿元;拨备覆盖率为193.23%,较上季末上升6.09个百分点;贷款拨备率为3.39%,较上季末上升0.02个百分点。', '  2021年二季度末,商业银行(不含外国银行分行)核心一级资本充足率为10.50%,较上季末下降0.14个百分点;一级资本充足率为11.91%,较上季末下降0.01个百分点;资本充足率为14.48%,较上季末下降0.03个百分点。', '  五、商业银行流动性水平保持稳健', '  2021年二季度末,商业银行流动性覆盖率3为141.21%,较上季末下降0.55个百分点;流动性比例为57.62%,较上季末下降0.85个百分点;人民币超额备付金率1.52%,较上季末下降0.28个百分点;存贷款比例(人民币境内口径)为78.08%,较上季末上升0.92个百分点。', '  六、保险业偿付能力情况', '  2021年第一季度末,纳入统计范围的保险公司平均综合偿付能力充足率为246.7%,核心偿付能力充足率为234%;100家保险公司风险综合评级被评为A类,72家被评为B类,4家被评为C类,2家被评为D类。', '  1自2019年起,邮储银行纳入“商业银行”汇总口径', '  2按照监管规定,商业银行应按照风险程度将贷款划分为正常、关注、次级、可疑和损失五类,前两类为正常贷款,后三类合称为不良贷款。正常贷款中,关注类贷款指借款人目前有能力偿还贷款本息,但存在一些可能对偿还产生不利影响因素的贷款。', '  3流动性覆盖率为资产规模在2000亿元以上的商业银行汇总数据。', '  附:', '  1.2021年银行业总资产、总负债(季度)', '  2.2021年商业银行主要监管指标情况表(季度)', '  3.2021年商业银行主要指标分机构类情况表(季度)', '  4.2021年银行业金融机构普惠型小微企业贷款情况表(季度)', '  5.2021年银行业金融机构保障性安居工程贷款情况表(季度)', '  6.2021年保险业偿付能力状况表(季度)']"
