,Publish Time,Title,Article
0,2021年07月21日 16:15,千亿白马歌尔股份尾盘突然闪崩:产业迎来超重磅 还要接着舞,"['  炒股就看金麒麟分析师研报,权威,专业,及时,全面,助您挖掘潜力主题机会!', '  原标题:突发!千亿白马尾盘突然闪崩,最新回应来了!最火赛道接近涨停,产业迎来超重磅,还要接着舞?', '  又是疯狂的一天!', '  今天A股迎来报复性上涨,三大指数收盘全线走高,盘中创业板指一度超越上证指数,引来市场围观。然而,这些都不是最重要的,重要的是市场结构太炸了。盐湖提锂指数收盘狂涨9.55%,9大行业指数收盘涨幅超过5%,其中锂电池和半导体两个行业最嗨。', '  从事件驱动的层面来看,锂涨价是一个主要因素。据悉,昨天国内电池级碳酸锂报价上涨500元/吨,时隔一个季度再次上涨。然而,另一个重磅信息更值得关注,那就是技术进步。北京时间7月20日18时《自然·通讯》期刊发表了中国科学技术大学马骋教授团队的固态电池成果,课题组设计并合成了一种新型氯化物固态电解质—氯化锆锂(Li2ZrCl6),使得固态电池商业化更进一步。', '  从盘面来看,还有一个现象值得关注,那就是尾盘市值超千亿的歌尔股份突然闪崩。分析人士认为,信维通信因中报原因突然暴跌可能引发市场对产业链公司的担忧。除歌尔股份外,立讯精密也有小幅跳水。另外,市场可能也在担心郑州洪灾影响苹果的出货进度。', '  锂电涨嗨', '  今天的市场格局大抵是这样的。盐湖提锂指数狂涨近10%收盘,锂矿收盘大涨8.71%,半导体设备、稀有金属全线暴涨。收盘涨幅超过5%的指数达到了9个。市场火热程度可见一斑。', '  那么,锂上涨究竟是何缘故?分析人士认为,可能与两个原因有关。', '  一是产品价格上涨。昨天国内电池级碳酸锂报价上涨500元/吨,时隔一个季度再次上涨。某头部券商表示,在碳酸锂供应显著增加的背景下,涨价表明下游对锂原料的需求增长强劲。下半年是国内正极材料企业的集中扩产周期,但供应端仍无显著增量,即使是最快的南美盐湖增量也要在今年年底才能释放。', '  近期中游电池材料企业相继公布了规模庞大的扩产计划,正极材料的产能扩张门槛迈入10万吨甚至20万吨级别,相应的锂盐需求也将进入5万吨甚至10万吨量级,反观国内锂盐扩产情况,多数企业扩产节奏仍为1-2万吨级别的小步前进,两者巨大的错配将使得锂盐的供应矛盾日趋严重,锂板块是产业链上涨价确定性最高的环节之一。', '  二是技术又有重大进步。据工人日报今日报道,中国科学技术大学马骋教授团队设计并合成了一种同时具有成本与性能优势的锂电池固态电解质。该工作克服了固态电解质材料生产成本和综合性能难以兼得的瓶颈,使得全固态电池的商业化不再只是遥不可及的“锂”想。北京时间7月20日18时《自然·通讯》期刊发表了该成果。', '  中国科学技术大学马骋教授课题组设计并合成了一种新型氯化物固态电解质—氯化锆锂(Li2ZrCl6)。这一材料成功将50微米厚度时的原材料成本降低至1.38美元/平方米,罕见的远远低于10美元/平方米这一确保全固态电池市场竞争力的阈值。除此之外,氯化锆锂在湿度高达5%(对应露点-15°C)时仍保持稳定,因此其合成和储存对气氛的要求并不苛刻,进一步降低了生产成本。此外,奥运会将近,据此前消息,丰田将会在开幕式上展示其固态电池电动车。', '  半导体也飞了', '  A股市场近期基本上是围绕着三条线在走:锂电、光伏和半导体。今天至少有两条线在飞,分别是前述之锂电和即将要展开的半导体。今天,半导体设备也迎来涨停潮。', '  盘后,上海市人民政府办公厅印发《上海市战略性新兴产业和先导产业发展“十四五”规划》。《规划》称,要提升5G通信、桌面CPU、人工智能、物联网、汽车电子等核心芯片研发能力,加快核心IP开发,推进FPGA、绝缘栅双极型晶体管(IGBT)、高端微控制单元(MCU)等关键器件研发。提升集成电路设计工具供给能力,培育全流程电子设计自动化(EDA)平台,优化国产EDA产业发展生态环境。加快研制具有国际一流水平的刻蚀机、清洗机、离子注入机、量测设备等高端产品。开展核心装备关键零部件研发。提升12英寸硅片、先进光刻胶研发和产业化能力。', '  而真正刺激今日行情的可能是半导体扩产周期正在上行。据天风证券,全球晶圆代工资本开支占收入比重达53%,连续三年提高。半导体产能有望持续向大陆转移,2020-2030大陆半导体资本开支复合增速有望高于全球。贸易摩擦背景下,中国大陆半导体设备材料国产化率未来有望持续提高。综合制造板块的加速扩张,叠加国产化率提高,半导体设备材料板块有预期上修空间,持续看好国产半导体设备材料的机会。与此同时,台积电也上修了半导体行业全年的预期。', '  正是在半导体和锂电的刺激之下,今天的创业板和科创板指数走势非常强势。其中,创业板指数一度超越上证指数。', '  千亿白马尾盘闪崩', '  从整个盘面来看,今天市场的赚钱效应不错,全市场涨的股票也涨多跌少,但尾盘出现了不平静的一幕。千亿大白马歌尔股份突然闪崩。随后,整个苹果产业链都出现了问题,立讯精密小幅跳水,蓝思科技亦是如此。', '  苹果产业链突然杀跌是何缘故?分析人士认为,主要可能有两个原因:', '  一是由于郑州出现洪灾,而目前iPhone系列生产主要是在富士康郑州厂区。市场担心洪水会影响出货问题。不过,富士康方面已对外界回应,目前郑州园区内人员安全无虞,集团将视水情变化调整运营。', '  二是信维通信的业绩影响整个产业链。作为苹果产业链龙头,今天该股大跌超16%。7月20日晚间,信维通信披露2021年半年度报告,公司2021年上半年实现营业收入30.55亿元,同比增长19.48%;实现归母净利润1.72亿元。分析认为,该公司正处于业务转型优化的阶段,上半年公司营业收入持续增长,净利润阶段性受到了一定的影响。', '  在歌尔股份闪崩之后,该公司盘后回应:公司生产经营情况一切正常,各项业务均在正常开展进行中,未发生重大业务变动。公司半年度业绩预告已经发布。', '  不过,有分析人士认为,歌尔闪崩及信维暴跌一事对半导体也是个警惕,毕竟半导体芯片下游是手机和汽车,而这两块的销量增速并不理想。']"
1,2021年07月21日 16:11,12只锂矿股9只涨停：赣锋锂业市值超2600亿 发生了什么,"['  原标题:12只锂矿股9只涨停!赣锋锂业市值超2600亿,发生了什么?', '  来源:21财闻汇', '  至发稿前,盐湖提锂指数上涨9.65%,锂矿指数上涨8.88%。其中,天华超净盘中涨幅超14%,另有中矿资源、赣锋锂业、盛新锂能和融捷股份等多只个股封住涨停,赣锋锂业再创历史新高,总市值超过2600亿元。', '  就基本面而言,今年二季度始终处于高位横盘的碳酸锂价格,近期价格有所松动,开始酝酿新一轮的上涨。', '  若采用百川盈孚的数据,7月7日,国内电池级碳酸锂市场主流报价区间在8.6-8.9万元之间,均价稳至8.75万元/吨。至7月20日,该产品市场主流报价区间在8.7-9.0万元之间,均价涨至8.85万元/吨。', '  绝对涨幅有限,却显示出二季度横盘的价格开始松动。', '  对此该行研机构指出,“下游厂家三元材料以及磷酸铁锂基本处于满产满销状态,对原料需求有一定支撑,另随着下半年磷酸铁锂产能逐步的释放,对碳酸锂市场需求将逐渐增加,目前无锡盘碳酸锂现货合约成交价格一路上行......”', '  需要指出的是,无锡碳酸锂现货合约为无锡不锈钢平台今年7月初推出的远期合约,而非传统意义上场内交易的标准化期货合约。', '  由于目前并无相关正规期货品种推出,目前上述远期合约对碳酸锂价格带来了一定指导意义。', '  该合约上市首日指导价是88元/kg,而据无锡不锈钢交易中心21日早间数据显示,今天10月交割的碳酸锂价格已经升至113元/公斤,相当于较上述均价溢价超过2.4万元/吨。', '  换言之,当前市场在旺季到来的预期下,本身对碳酸锂等锂盐产品价格的进一步上涨存在较强预期。', '  落实到企业盈利环节,若产品价格三季度继续上行,相关企业利润率、利润规模也将随之上调。', '  当然,上述基本面的变动只是基础条件,二级市场股价的波动更多是受到资金的选择与推动。', '  而就二级市场近期走势来看,除军工板块略有表现,并未出现其他持续性较强的个股,市场资金仍然集中于新能源汽车产业链。', '  另外,近期披露的基金半年报也显示,多位知名基因经理于二季度大举进入锂电股,如“公募冠军”赵诣抄底赣锋锂业,以及冯明远二季度大举增持天齐锂业等。', '  这再次为二级市场提供了一定示范作用,和情绪效应。']"
2,2021年07月21日 15:41,暴雨对棉纺大省影响几何？业内人士：棉纺织原料影响有限 人棉纱开机率略有下降,"['  财联社(南京,记者王俊仙)讯,河南大范围强降水牵动全国人民的心,同时河南作为我国棉纺大省,暴雨是否会对纺织行业造成重大影响也备受关注。据财联社记者从行业相关人士处获悉,河南暴雨目前对棉纺织行业主要原料的生产影响有限,但物流运输受到一定影响,而随着雨水或逐步减少,后续生产及运输或逐步恢复正常。', '  财联社记者从隆众资讯获取的信息显示,河南棉纺纱锭主要集中在开封、商丘、南阳、新乡、焦作、平顶山一带。其中南阳的新野是中国棉纺织名城,产品以纯棉纱为主,支数以40S、60S居多;河南的人棉纱生产企业集中在新乡地区,产品以环锭纺人棉纱及股线为主。', '  一位棉花行业人士告诉财联社记者,河南地区作为全国前三席的棉纺基地,此次雨水、水涝侵袭,当下来看,多数纺企集中在乡镇,生产多未受到影响,但物流运行稍有受限。', '  财联社记者从周口、驻马店等地部分织厂处也获悉,工厂继续保持按单操作,补货暂未受影响。', '  数据显示,今日棉纱现货交易价格未出现明显波动,C32S报盘价格26000元/吨附近。', '  上述棉花行业人士向财联社记者表示,河南地区棉花种植、加工量少,贸易、仓储相对集中。暴雨影响最严重的郑州,棉花种植及纺企数量不多。至目前当地棉花仓库也并未传来灌水、受灾等情况。后续泄洪、物流运输会有所影响,但随着天气好转,影响持续时间也不会长。而且当下国产棉实际交易量并不大,基于纱厂原料库存维持与偏高位置,需紧急发货量亦有限。', '  据隆众资讯统计,就棉纺原料来看,河南当地涤纶短纤总计产能25万吨,产能集中在洛阳;河南省没有粘胶短纤产能,但新乡地区有9万吨莱赛尔产能,后续周口也或有莱赛尔新增计划。', '  隆众资讯方面向财联社记者表示,7月17日以来,河南省普降暴雨、大暴雨,局部特大暴雨,新乡地区已积极应对,但目前当地人棉纱平均开机率负荷依旧不到30%,其中凤泉区停机明显,辉县、获嘉县、卫滨区维持适当负荷运转,但目前运输都已受限。不过在大雨之前,该类地区已经受到限电影响而人棉纱整体开机率偏低,今日起雨水或逐步减少,后续生产及运输或逐步恢复正常。', '  财联社记者从河南上市公司、锦纶生产企业神马股份(600810.SH)处获悉,公司主厂区目前生产运输没有问题,上午公司统计了下主要子公司也没有问题。', '  氨纶龙头企业新乡化纤工作人员向财联社记者表示:“我们提前采取了很好的防范措施,目前生产是正常的,运输也没有受到明显影响,由于预报还有雨,未来怎样还不能确定。”']"
3,2021年07月21日 15:37,河南暴雨未影响本土铜产品供需 当地铜企表示一切正常,"['  炒股就看金麒麟分析师研报,权威,专业,及时,全面,助您挖掘潜力主题机会!', '  财联社(郑州,记者熊嘉楠张良德)讯,7月17日18时至21日0时,郑州出现罕见持续强降水天气,全市普降大暴雨、特大暴雨,累积平均降水量449毫米。据公开信息,受强降雨影响河南境内25条高速公路31个路段封闭。记者了解到,河南铜冶炼产能75万吨/年,在全国处于中等水平,铜加工综合能力110万吨/年左右,其中铜管棒排杆产能80万吨/年,铜箔5万吨/年左右。对此,河南铜行业多家公司财联社记者表示,目前只是部分交通阻断,生产一切正常。', '  Mysteel我的有色网告诉财联社记者:“目前河南主要铜冶炼企业正常生产运营,部分铁路运输略有短期影响,原料供应总体影响不大。并表示,在河南铜行业主要公司有豫光金铅(600531.SH)、国投金城、中国黄金(600916.SH)旗下河南中原黄金冶炼厂,合计产能近100万吨/年。”', '  豫光金铅董秘告诉财联社记者:“目前生产与往常一样,暴雨已经开始变小,只是部分交通阻断,估计明天就可通行,济源地区几家大厂也都没有什么影响。”位于河南灵宝的国投金城相关人士向记者表示,公司目前处于大检修期间,公司所处位置地势较高,目前没有受到降雨影响,但对外运输因为部分高速封路,可能有短期影响;三门峡的中原黄金表示,当地降雨不大,企业生产没有受到影响,电力供应也没有受到影响,目前生产经营正常。', '  另外,Mysteel我的有色网也向记者透露,河南济源某冶炼企业生产无影响,铁运中断,但汽运仍在运行,但部分线路无法通行,发货暂无影响,运输时间有所加长,不影响企业供应;郑州某铜加工企业表示市中心地带受影响最大,周边情况还好交通并未完全中断,目前生产处于正常;三门峡某冶炼企业表示,生产正常,三门峡市场影响相对较小,目前高铁中断,高速封闭,汽运基本停止,考虑到铁运也有可能停止,按照市场日发货1000吨的量,发货可能有2-3天的影响;灵宝某冶炼厂表示,企业从7月19日开始检修至9月结束,目前大水对检修没有影响,不过点火计划有可能推迟。', '  记者注意到,自7月17日以来,电解铜、黄铜板H62、紫铜板T2等产品河南市场价格均出现短期下滑,7月20日后开始出现反弹。钢联数据显示,上述产品7月20日较16日跌幅分别为1.98%、1.2%、1.56%,截至7月21日河南市场价格分别为68455元/吨、57630元/吨和75980元/吨。上述Mysteel人士表示,“河南天气对于铜的供需暂时影响不大,所以铜价上也没有什么体现。但是20日晚间河南各种消息,可能会带动一定市场情绪。”', '  来源:钢联数据', '  然而暴雨仍在继续,中国气象局报道,第6号台风“烟花”中心20日下午5点钟位于我国台湾省宜兰县,预计将以每小时15公里左右的速度向偏西方向移动,强度逐渐加强,于25日早晨到上午在浙闽沿海登陆。20日20时至21日20时,东海大部、台湾以东洋面、台湾海峡、浙江沿海、福建沿海将有6-8级大风,其中东海东南部和台湾以东洋面的部分海域风力可达8-10级,阵风11-12级。财联社将跟踪报道台风对铜产业链的影响。']"
4,2021年07月21日 15:21,同一主题 圆信永丰的迷你基业绩吊打巨无霸广发高端制造,"['  炒股就看金麒麟分析师研报,权威,专业,及时,全面,助您挖掘潜力主题机会!', '  记者杜萌', '  今年以来,掘金高端制造等装备行业的主题基金独领风骚。Wind数据显示,目前市面上名称中含有“高端制造”的主动型基金就有12只。易方达、广发、华夏、工银瑞信、富国、博时、平安、银华、前海开源、天弘、诺安、圆信永丰等多家公募公司均有相关产品推出。', '  随着二季报的披露,哪只高端制造主题基金二季度业绩最能打?哪只又被投资者抛弃?', '  界面新闻记者统计发现,截至7月21日上午12:00时,除富国高端制造行业尚未披露二季报、天弘高端制造由于今年7月14日刚刚成立,仍处在建仓期,所以暂不披露二季报外,其他10只均公布了季报。', '  表:10只高端制造主题基金对比明细来源:wind界面新闻研究部', '  目前已经披露二季报的10只高端制造主题基金,开始呈现明显的马太效应。作为2020年的股票型基金冠军,广发高端制造二季度末规模达到了219.08亿元。不过,相比一季度的257.43亿元,由于业绩太平庸,二季度规模大缩水38.35亿元。', '  其次是祁禾管理的易方达高端制造,二季度规模达49.26亿元,相比一季度净值规模增加了4.62亿元。', '  银华、圆信永丰、博时、诺安、前海开源4只规模则非常迷你,均在1-3亿之间。', '  但从二季度的业绩来看,规模仅有2.43亿的圆信永丰高端制造却遥遥领先,达到了34.54%;华夏高端制造二季度净值增长率为27.23%。', '  而去年股基冠军广发高端制造仅有1.33%,位居10只基金的倒数第一位。', '  广发高端制造二季度怎么了?', '  与上一季度相比,该基金二季度前十大重仓股,郑澄然又把之前卖掉的阳光电源(300274),隆基股份(601012)卖回来了;中国太保(601601)、长江电力(600900)、平安银行(000001)则退出;', '  表:4只高端制造主题基金重仓股对比明细(标红为新增重仓股)   来源:wind 界面新闻研究部', '  未变的7大重仓股中,其中桐昆股份(601233)持股数量不变,对杰瑞股份(002353)、中联重科(000157)、荣盛石化(002493)、中国重汽(000951)均进行了增持;对中国神华(601088)、兴业银行(601166)则进行了减仓。', '  从个股的表现来看,中联重科、中国重汽三只个股今年以来持续低迷。Wind数据显示,中联重科年初至今跌幅为16.37%,中国重汽跌幅则为21.05%;', '  对此,基金经理表示,经过了二季度的强势反弹后,很多赛道估值水平已经达到了历史高位,若想取得较好的收益,则需要进行自下而上的个股深挖。', '  但作为去年的股基冠军,这样的业绩并不能让投资者满意。在该基金评论区,多持有人表示“很失望,是追着去年股基冠军的名头买的,没想到今年这么差”。', '  而圆信永丰高端制造在二季度则新增了药明康德(维权)(603259)、迈为股份(300751)、迈瑞医疗(300760)、通策医疗(600763)、谱尼测试(300887)4只涨势喜人的医药股。这让该基金的前十大重仓股中,医药生物个股占了4席。相比其他高端制造的主题基金,该基金更像一只“混搭”的综合类基金。', '  基金经理范习辉表示,二季度调整了行业配置,新增了医药创新个股、光伏、锂电池和食品饮料等。', '  华宝证券的研报显示,高端制造涉及国防军工、航空航天、通信设备、半导体、电子设备与仪器、生物科技、制药、汽车等多个领域。', '  而随着半导体、汽车、电气设备等行业的估值抬升,能否在高端制造领域掘金到仍处于估值洼地的个股,能否实现行业的均衡配置,则成为基金经理的试金石。投资者在选择高端制造主题基金时,不应盲目追随名气大的基金,更应该综合考虑。']"
5,2021年07月21日 16:22,未按规定及时披露2020年年报 深圳特发及时任副总经理收警示函,"['  7月20日,深圳证监局披露关于对深圳市特区建设发展集团有限公司及佘晓明采取出具警示函措施的决定。', '  经查,深圳市特区建设发展集团有限公司作为公司债券发行人,未按规定及时披露2020年年度报告,违反了《公司债券发行与交易管理办法》(证监会令第180号)第四条、第五十条、第五十一条第一款的规定。佘晓明作为时任公司副总经理、信息披露工作负责人,对上述事项负有主要责任。根据《公司债券发行与交易管理办法》第六十八条的规定,深圳证监局决定对深圳市特区建设发展集团有限公司、佘晓明采取出具警示函的行政监管措施。']"
6,2021年07月21日 16:07,清水源回复投资者问：河南特大暴雨对公司及子公司生产经营影响较小,"['  近日河南省多地出现持续性强降水天气,有不少投资者对暴雨是否会对河南的上市公司造成影响表示关注。7月21日,有投资者在互动易平台上向河南清水源科技股份有限公司 (300437)提问,这次河南特大暴雨,造成城市内涝,对公司是否产生影响。', '  对此清水源回复称,河南本次特大暴雨目前对公司及子公司生产经营影响较小,公司将密切关注本次特大暴雨情况,并做好相关的应急预案。 ', '  河南清水源科技股份有限公司位于河南省济源市,成立于1995年,前身是济源市清源水处理有限责任公司,2008年3月完成股份制改造,更名为:河南清水源科技股份有限公司。公司注册资本5000万元人民币,占地150余亩。']"
7,2021年07月21日 15:56,郑州市连降暴雨 ST加加郑州子公司暂时停产,"['  7月16日以来,郑州市连降暴雨,降雨量创1982年以来最大。同时河南全省大部分出现暴雨大暴雨,其中郑州、焦作、新乡、洛阳、许昌等地区出现特大暴雨。7月20日郑州气象台继续发布暴雨红色预警信号,道路交通受阻严重。', '  在最近持续性强降水的天气下,有不少投资者对暴雨是否会对河南的上市公司造成影响表示关注。7月21日,有投资者在互动易平台上向ST加加(维权)(002650)提问,询问这次郑州的特大暴雨对ST加加下属的郑州子公司是否有影响。', '  ST加加对此回应称,郑州公司受暴雨影响暂时停产,因提前做了防护预案,目前人员和财产处于安全状况。集团及郑州公司成立了应急小组,通过公众号、微信群等方式发布应急措施及安全提醒。郑州公司当下库存充裕,据最新消息反馈,大雨暂停,道路通畅地区物流已可正常发货。加加食品祝愿河南同胞平安无恙。']"
8,2021年07月21日 15:53,河南多地连续强降水 牧原股份各场区运营正常,"['  7月16日以来,郑州市连降暴雨,降雨量创1982年以来最大。同时河南全省大部分出现暴雨大暴雨,其中郑州、焦作、新乡、洛阳、许昌等地区出现特大暴雨。在持续性强降水的天气下,7月21日,有投资者向牧原股份(002714)提问,询问其猪粮储备有多少?断供情况下能维持多少天?这次河南洪灾对公司影响几何?', '  对此牧原股份回应称,公司根据生产需求合理制定采购计划,原材料库存量可满足正常生产需求,保障顺畅运营。近日,河南多地出现连续强降水,到目前为止公司各场区运营正常。公司已经成立应急指挥部,密切关注持续降雨带来的影响,要求各区域、各部门及时排查险情、上报总部,并根据各地实际情况制定相应应急预案,保障公司正常运营。']"
9,2021年07月21日 15:52,未按规定及时披露2020年年报 万泽集团有限公司及时任董事长收警示函,"['  炒股就看金麒麟分析师研报,权威,专业,及时,全面,助您挖掘潜力主题机会!', '  7月20日,深圳证监局披露关于对万泽集团有限公司及林伟光采取出具警示函措施的决定。', '  经查,万泽集团有限公司作为公司债券发行人,未按规定及时披露2020年年度报告,违反了《公司债券发行与交易管理办法》(证监会令第180号)第四条、第五十条、第五十一条第一款的规定。林伟光作为时任公司董事长,是信息披露工作第一责任人,对上述事项负有主要责任。根据《公司债券发行与交易管理办法》第六十八条的规定,深圳证监局决定对万泽集团有限公司、林伟光采取出具警示函的行政监管措施。']"
